[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:33:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:04] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:06] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
[2024-09-18 09:34:13] (ERROR @ D:\Projects\Hosts\inclusion-future-v2.local\release\core\src\Revolution\modParser.php : 512) Could not find snippet with name isNew.
